Pupil Name,Date of Birth,This Year's Birthday,Cake Needed On,Month,BDs per Weekday and Month
Benetta Zanussii,30/07/2012,30/07/2022,Friday,July,49
Pandora Seelbach,20/05/2014,20/05/2022,Friday,May,30
Hatty Crotty,22/09/2013,22/09/2022,Thursday,September,14
Tessa Pogue,23/06/2015,23/06/2022,Thursday,June,12
Grantley Doogan,02/07/2014,02/07/2022,Friday,July,49
Sunny Lanning,28/12/2014,28/12/2022,Wednesday,December,9
L;urette Applegarth,10/09/2012,10/09/2022,Friday,September,41
Wendy Oscroft,03/01/2015,03/01/2022,Monday,January,14
Ev Baldack,23/04/2015,23/04/2022,Friday,April,56
Jania Pesek,08/04/2012,08/04/2022,Friday,April,56
Kelley Shenton,31/12/2012,31/12/2022,Friday,December,48
Doralynne Sekulla,14/03/2015,14/03/2022,Monday,March,8
Price Harrald,30/03/2013,30/03/2022,Wednesday,March,6
Allen Welburn,05/11/2014,05/11/2022,Friday,November,39
Merwin Doag,29/04/2015,29/04/2022,Friday,April,56
Jeannette Symonds,23/10/2012,23/10/2022,Friday,October,27
Valaree Heckner,30/04/2012,30/04/2022,Friday,April,56
Gussie Palmar,21/05/2014,21/05/2022,Friday,May,30
Yehudi Beggan,19/10/2013,19/10/2022,Wednesday,October,13
Drusilla Tuson,14/10/2014,14/10/2022,Friday,October,27
Alanah Dowtry,25/08/2014,25/08/2022,Thursday,August,10
Kathlin Cobleigh,26/02/2015,26/02/2022,Friday,February,31
Layne Curston,29/12/2013,29/12/2022,Thursday,December,20
Idell Shropshire,02/05/2015,02/05/2022,Monday,May,7
Kimbra Whelan,25/10/2013,25/10/2022,Tuesday,October,9
Nadean Godsell,27/02/2013,27/02/2022,Friday,February,31
Katinka Liger,25/01/2013,25/01/2022,Tuesday,January,12
Fallon Kettles,24/06/2013,24/06/2022,Friday,June,30
Tally Powland,02/07/2015,02/07/2022,Friday,July,49
Nolan Jerosch,31/10/2014,31/10/2022,Monday,October,14
Viva Yukhnini,04/12/2011,04/12/2022,Friday,December,48
Nevile Jurewicz,25/03/2014,25/03/2022,Friday,March,31
Brand Kaes,24/03/2014,24/03/2022,Thursday,March,19
Celine De la Yglesia,13/01/2012,13/01/2022,Thursday,January,6
Adrian Snary,22/07/2013,22/07/2022,Friday,July,49
Anny Casterot,26/01/2015,26/01/2022,Wednesday,January,14
Jacques Cosins,01/02/2012,01/02/2022,Tuesday,February,13
Lauretta Greenhalf,08/09/2013,08/09/2022,Thursday,September,14
Ettie Condie,23/10/2012,23/10/2022,Friday,October,27
Tailor Fellows,26/07/2012,26/07/2022,Tuesday,July,12
Iago Szimon,31/08/2014,31/08/2022,Wednesday,August,10
Howard Kittow,09/04/2014,09/04/2022,Friday,April,56
Smith Okenden,31/12/2012,31/12/2022,Friday,December,48
West Kibby,20/11/2013,20/11/2022,Friday,November,39
Perren Randalston,03/09/2013,03/09/2022,Friday,September,41
Garnette Chiese,28/03/2014,28/03/2022,Monday,March,8
Mace Huntingdon,17/05/2012,17/05/2022,Tuesday,May,15
Konstantine Parysowna,01/06/2015,01/06/2022,Wednesday,June,15
Cristina Oseman,28/03/2012,28/03/2022,Monday,March,8
Finley McClements,18/08/2013,18/08/2022,Thursday,August,10
Vic Barends,24/09/2014,24/09/2022,Friday,September,41
Bartholomew Coyle,14/10/2011,14/10/2022,Friday,October,27
Krystal Dunlea,29/05/2012,29/05/2022,Friday,May,30
Mireielle Lundy,19/07/2014,19/07/2022,Tuesday,July,12
Sharla Almond,16/11/2011,16/11/2022,Wednesday,November,17
Sibeal Templeton,22/07/2012,22/07/2022,Friday,July,49
Pearce Clayworth,19/03/2012,19/03/2022,Friday,March,31
Sheelah Greder,29/11/2012,29/11/2022,Tuesday,November,12
Joly Wybrow,08/01/2015,08/01/2022,Friday,January,30
Bondon Antonazzi,09/02/2012,09/02/2022,Wednesday,February,8
Gwen Biglin,18/01/2012,18/01/2022,Tuesday,January,12
Kip Blowen,19/07/2015,19/07/2022,Tuesday,July,12
Moises Orrocks,30/11/2012,30/11/2022,Wednesday,November,17
Norbie Shoveller,18/12/2012,18/12/2022,Friday,December,48
Matty Piperley,14/06/2014,14/06/2022,Tuesday,June,11
Wileen Scamadine,15/02/2015,15/02/2022,Tuesday,February,13
Armstrong Batiste,15/04/2012,15/04/2022,Friday,April,56
Daisey Blanning,27/11/2012,27/11/2022,Friday,November,39
Jammal Ouchterlony,24/02/2015,24/02/2022,Thursday,February,12
Cynthea Whittier,04/11/2014,04/11/2022,Friday,November,39
Templeton Reynard,19/12/2014,19/12/2022,Monday,December,20
Baron Sarre,30/12/2014,30/12/2022,Friday,December,48
Rex Adds,26/12/2014,26/12/2022,Monday,December,20
Oberon Pollie,22/09/2011,22/09/2022,Thursday,September,14
Dorita Messitt,17/03/2015,17/03/2022,Thursday,March,19
Floria Kitlee,06/07/2012,06/07/2022,Wednesday,July,19
James Bartles,12/01/2012,12/01/2022,Wednesday,January,14
Jay Yashaev,31/01/2013,31/01/2022,Monday,January,14
Leshia Sanderson,27/09/2013,27/09/2022,Tuesday,September,12
Tiffy Glanz,15/06/2015,15/06/2022,Wednesday,June,15
Kizzie Dod,05/10/2014,05/10/2022,Wednesday,October,13
Madlen Lethardy,18/03/2014,18/03/2022,Friday,March,31
Estella Brende,16/02/2014,16/02/2022,Wednesday,February,8
Grover Barstock,15/08/2013,15/08/2022,Monday,August,12
Amalee Marquiss,15/12/2011,15/12/2022,Thursday,December,20
Megan Blyth,22/04/2012,22/04/2022,Friday,April,56
Willette Fibbit,02/12/2013,02/12/2022,Friday,December,48
Calida Dymond,11/08/2015,11/08/2022,Thursday,August,10
Aharon Ricardin,02/03/2013,02/03/2022,Wednesday,March,6
Maurits Petyanin,25/12/2013,25/12/2022,Friday,December,48
Ermanno Polglaze,24/08/2013,24/08/2022,Wednesday,August,10
Ancell Borrel,24/04/2012,24/04/2022,Friday,April,56
Keven Latchford,05/09/2013,05/09/2022,Monday,September,7
Rona Hammill,25/10/2011,25/10/2022,Tuesday,October,9
Evita Sirett,13/03/2014,13/03/2022,Friday,March,31
Lorry Sarle,29/05/2015,29/05/2022,Friday,May,30
Kate Fannon,27/02/2014,27/02/2022,Friday,February,31
Paulina Vale,23/11/2014,23/11/2022,Wednesday,November,17
Earl Kelleway,06/11/2013,06/11/2022,Friday,November,39
Culver Daburn,11/05/2014,11/05/2022,Wednesday,May,8
Antonie Worcester,15/02/2015,15/02/2022,Tuesday,February,13
Magda Cullrford,04/02/2012,04/02/2022,Friday,February,31
Jeremiah Diack,27/04/2012,27/04/2022,Wednesday,April,12
Lynett Dibdin,08/06/2012,08/06/2022,Wednesday,June,15
Trace Neenan,20/09/2011,20/09/2022,Tuesday,September,12
Miran Gowans,08/01/2015,08/01/2022,Friday,January,30
Orsa Orrey,30/07/2015,30/07/2022,Friday,July,49
Gillie Bermingham,23/06/2014,23/06/2022,Thursday,June,12
Mikaela Madgwick,05/12/2012,05/12/2022,Monday,December,20
Maximo Greenin,07/04/2013,07/04/2022,Thursday,April,11
Daron Fellis,11/05/2013,11/05/2022,Wednesday,May,8
Dorothea Haselwood,23/04/2014,23/04/2022,Friday,April,56
Pernell Howgego,25/11/2013,25/11/2022,Friday,November,39
Jaimie Bebbell,22/03/2013,22/03/2022,Tuesday,March,13
Rici Dohms,09/04/2013,09/04/2022,Friday,April,56
Oralla Braffington,01/09/2011,01/09/2022,Thursday,September,14
Elisa Whiteley,05/09/2014,05/09/2022,Monday,September,7
Emalia Kynson,15/05/2015,15/05/2022,Friday,May,30
Kakalina Standbrook,23/07/2012,23/07/2022,Friday,July,49
Billy Dionis,12/12/2013,12/12/2022,Monday,December,20
Kit Fishbourn,01/04/2014,01/04/2022,Friday,April,56
Sayer Romain,11/04/2014,11/04/2022,Monday,April,10
Welby Dymott,15/04/2012,15/04/2022,Friday,April,56
Darci Brozsset,31/12/2012,31/12/2022,Friday,December,48
Emelyne Pierro,14/08/2012,14/08/2022,Friday,August,24
Afton Ninotti,16/12/2013,16/12/2022,Friday,December,48
Sofie Duinbleton,28/08/2015,28/08/2022,Friday,August,24
Franciskus Brittles,25/01/2013,25/01/2022,Tuesday,January,12
Darline Glandon,11/09/2013,11/09/2022,Friday,September,41
Adara Beringer,01/09/2011,01/09/2022,Thursday,September,14
Maddie Kennard,15/04/2015,15/04/2022,Friday,April,56
Bobbe Rangall,22/01/2015,22/01/2022,Friday,January,30
Osgood Darnborough,20/07/2013,20/07/2022,Wednesday,July,19
Cory Shackle,31/07/2012,31/07/2022,Friday,July,49
Denna Bulluck,20/10/2011,20/10/2022,Thursday,October,14
Jocelin Slora,11/09/2012,11/09/2022,Friday,September,41
Woodman Cockman,09/12/2012,09/12/2022,Friday,December,48
Wain Jime,20/12/2011,20/12/2022,Tuesday,December,8
Twila Bradmore,01/10/2014,01/10/2022,Friday,September,41
Marcus Lemery,26/11/2012,26/11/2022,Friday,November,39
Alia Whayman,06/07/2015,06/07/2022,Wednesday,July,19
Maximilien Shipcott,20/10/2014,20/10/2022,Thursday,October,14
Robina Exroll,01/06/2015,01/06/2022,Wednesday,June,15
Walt De Ferraris,31/03/2012,31/03/2022,Thursday,March,19
Alf Stiff,04/10/2014,04/10/2022,Tuesday,October,9
Vernon Yateman,12/02/2012,12/02/2022,Friday,February,31
Von Kearton,23/06/2015,23/06/2022,Thursday,June,12
Dacie Hunnam,16/05/2014,16/05/2022,Monday,May,7
Silvie Lepere,24/02/2012,24/02/2022,Thursday,February,12
Thorpe Trudgion,08/07/2015,08/07/2022,Friday,July,49
Lucais Hyrons,11/11/2013,11/11/2022,Friday,November,39
Matthieu Hoyer,04/09/2012,04/09/2022,Friday,September,41
Reine Djorvic,08/12/2013,08/12/2022,Thursday,December,20
Saree Farquhar,28/03/2013,28/03/2022,Monday,March,8
Sallyann Tawse,10/07/2014,10/07/2022,Friday,July,49
Victor Stonham,25/01/2013,25/01/2022,Tuesday,January,12
Corella Thumnel,14/05/2015,14/05/2022,Friday,May,30
Andy Philipard,12/06/2015,12/06/2022,Friday,June,30
Idette Bande,04/05/2014,04/05/2022,Wednesday,May,8
Allyn Wheldon,21/12/2014,21/12/2022,Wednesday,December,9
Leslie Rontree,17/07/2013,17/07/2022,Friday,July,49
Bibbie Bortolomei,14/11/2012,14/11/2022,Monday,November,11
Bartolemo Cleave,12/02/2013,12/02/2022,Friday,February,31
Korry Leirmonth,10/02/2012,10/02/2022,Thursday,February,12
Aridatha Bonicelli,03/11/2011,03/11/2022,Thursday,November,13
Twila Grinley,03/12/2013,03/12/2022,Friday,December,48
Lettie Pennyman,19/07/2012,19/07/2022,Tuesday,July,12
Blake MacIlhargy,21/08/2014,21/08/2022,Friday,August,24
Daniele McCloy,11/07/2013,11/07/2022,Monday,July,11
Felizio Weinmann,29/11/2011,29/11/2022,Tuesday,November,12
Ilsa Tettley,11/09/2013,11/09/2022,Friday,September,41
Ardyce Meriton,23/07/2012,23/07/2022,Friday,July,49
Shandee Scard,21/11/2014,21/11/2022,Monday,November,11
Cristionna Hegden,03/07/2015,03/07/2022,Friday,July,49
Mignonne Dumsday,29/05/2015,29/05/2022,Friday,May,30
Raynell Behneke,24/12/2014,24/12/2022,Friday,December,48
Adina Gawthorpe,15/02/2013,15/02/2022,Tuesday,February,13
Sheff De Andreis,12/10/2013,12/10/2022,Wednesday,October,13
Mab Canepe,11/12/2011,11/12/2022,Friday,December,48
Dynah Petrillo,16/08/2013,16/08/2022,Tuesday,August,15
Leroi Crumpe,06/05/2012,06/05/2022,Friday,May,30
Lynnett Gierardi,13/12/2013,13/12/2022,Tuesday,December,8
Winny Scoggans,29/03/2012,29/03/2022,Tuesday,March,13
Shirlene Palluschek,10/06/2012,10/06/2022,Friday,June,30
Zarah Symington,01/01/2012,01/01/2022,Friday,December,48
Bernete Westoff,02/10/2014,02/10/2022,Friday,September,41
Marlowe Daniell,03/03/2014,03/03/2022,Thursday,March,19
Berkly Stanett,27/03/2015,27/03/2022,Friday,March,31
Dominga Peat,15/02/2014,15/02/2022,Tuesday,February,13
Karlotte Vaudre,03/10/2011,03/10/2022,Monday,October,14
Carmelina Ashbridge,08/09/2012,08/09/2022,Thursday,September,14
Ricardo Barmby,20/11/2014,20/11/2022,Friday,November,39
Alyson Lindsell,06/07/2012,06/07/2022,Wednesday,July,19
Valentine McPherson,04/03/2012,04/03/2022,Friday,March,31
Analiese Bliven,07/11/2013,07/11/2022,Monday,November,11
Nathanial Matczak,27/08/2013,27/08/2022,Friday,August,24
Lanny Alyukin,10/11/2012,10/11/2022,Thursday,November,13
Emmott Barnaby,05/11/2014,05/11/2022,Friday,November,39
Trudey Skarman,05/06/2014,05/06/2022,Friday,June,30
Daloris Skillicorn,09/12/2013,09/12/2022,Friday,December,48
Ranna Eagland,29/08/2013,29/08/2022,Monday,August,12
Amitie McGairl,12/02/2015,12/02/2022,Friday,February,31
Karissa Dickon,03/12/2012,03/12/2022,Friday,December,48
Laural Hexum,06/09/2012,06/09/2022,Tuesday,September,12
Quinlan Franckton,26/12/2014,26/12/2022,Monday,December,20
Anissa Semerad,10/01/2013,10/01/2022,Monday,January,14
Aland Ashlee,13/07/2012,13/07/2022,Wednesday,July,19
Chickie Asch,12/12/2012,12/12/2022,Monday,December,20
Linda Haberjam,06/10/2011,06/10/2022,Thursday,October,14
Ad Falco,17/07/2013,17/07/2022,Friday,July,49
Care Reihill,03/05/2013,03/05/2022,Tuesday,May,15
Odelia Bayston,19/12/2011,19/12/2022,Monday,December,20
Tedi Nekrews,03/03/2013,03/03/2022,Thursday,March,19
Adore Rowan,30/04/2012,30/04/2022,Friday,April,56
Thorn Blencowe,19/02/2014,19/02/2022,Friday,February,31
Prudy Duetsche,01/08/2015,01/08/2022,Monday,August,12
Ariana Shearmer,20/04/2015,20/04/2022,Wednesday,April,12
Karoline Gash,06/06/2012,06/06/2022,Monday,June,9
Liam Sings,15/12/2012,15/12/2022,Thursday,December,20
Denise Huckleby,01/10/2012,01/10/2022,Friday,September,41
Truda Welband,04/01/2014,04/01/2022,Tuesday,January,12
Kelcey Dragonette,23/06/2012,23/06/2022,Thursday,June,12
Bridgette Hachard,21/05/2012,21/05/2022,Friday,May,30
Joy Brobeck,10/03/2013,10/03/2022,Thursday,March,19
Kimbra Yuille,13/03/2013,13/03/2022,Friday,March,31
Harold Dunckley,17/01/2014,17/01/2022,Monday,January,14
Tabbie Edgar,02/10/2011,02/10/2022,Friday,September,41
Nataniel Capinetti,23/08/2012,23/08/2022,Tuesday,August,15
Aldus Lindro,21/10/2011,21/10/2022,Friday,October,27
Shaylah Bottle,06/07/2014,06/07/2022,Wednesday,July,19
Pammie Maxweell,11/11/2013,11/11/2022,Friday,November,39
Ericka Ebourne,28/02/2012,28/02/2022,Monday,February,12
Trstram Macci,16/04/2013,16/04/2022,Friday,April,56
Malory Jonk,10/04/2012,10/04/2022,Friday,April,56
Jammal Reubens,28/05/2012,28/05/2022,Friday,May,30
Ramsay Wither,14/06/2012,14/06/2022,Tuesday,June,11
Yoshiko Dies,11/03/2013,11/03/2022,Friday,March,31
Nicky Rawes,13/02/2012,13/02/2022,Friday,February,31
Bourke Upson,10/10/2011,10/10/2022,Monday,October,14
Bernetta Barkaway,23/01/2013,23/01/2022,Friday,January,30
Cynthie Marthen,26/08/2014,26/08/2022,Friday,August,24
Patricio Meakin,17/11/2012,17/11/2022,Thursday,November,13
Ivonne World,06/10/2011,06/10/2022,Thursday,October,14
Joey McJury,24/03/2012,24/03/2022,Thursday,March,19
Tammie Alabone,08/12/2013,08/12/2022,Thursday,December,20
Emmie Laba,07/04/2013,07/04/2022,Thursday,April,11
Blinny Upwood,15/03/2013,15/03/2022,Tuesday,March,13
